人名,次數
蘇煥智,3
林明義,3
彭紹瑾,3
陳清寶,3
章仁香,3
蔡正元,4
鄭朝明,4
何智輝,4
陳志彬,4
周伯倫,4
王金平,4
沈富雄,4
洪秀柱,4
蔡同榮,4
徐少萍,4
陳朝容,4
孫大千,4
陳宏昌,4
高金素梅,4
朱星羽,4
曾永權,4
馮定國,4
楊仁福,4
潘維剛,4
許舒博,4
劉銓忠,4
洪玉欽,4
許添財,4
劉政鴻,4
賴士葆,4
林郁方,4
顏清標,4
呂學樟,4
李鴻鈞,4
林德福,4
邱垂貞,4
林益世,4
林建榮,4
廖國棟,4
邱鏡淳,4
徐耀昌,4
李慶安,4
黃義交,4
賴清德,4
鍾紹和,4
楊麗環,4
李顯榮,5
陳根德,5
林炳坤,5
曹爾忠,5
黃昭順,5
葉宜津,5
林正二,5
盧秀燕,5
李俊毅,5
翁重鈞,5
趙永清,5
楊瓊瓔,5
沈智慧,5
羅明才,5
柯建銘,5
徐中雄,6
朱鳳芝,6
丁守中,6
李慶華,7
