age,2,3,4,5,6,7,8
25 ~ 29,0,0,2,2,1,1,0
30 ~ 34,5,4,6,9,9,4,1
35 ~ 39,25,21,21,16,17,4,6
40 ~ 44,31,32,41,41,23,7,9
45 ~ 49,20,31,39,48,52,12,19
50 ~ 54,22,23,35,32,36,22,9
55 ~ 59,14,14,21,14,27,16,19
60 ~ 64,6,3,9,10,9,10,14
65 ~ 69,1,0,2,4,2,3,1
70 ~ 74,0,0,0,0,0,0,0
75 ~ 79,0,0,0,0,0,0,1
